heure;latitude;longitude;altitude;cardio
18:06:31;19.641689462587237;-155.9963897522539;7.599999904632568;150
18:06:35;19.64186791330576;-155.99629126489162;9.199999809265137;150
18:06:37;19.641969921067357;-155.99630501121283;9.399999618530273;147
18:06:39;19.642068408429623;-155.9963810350746;9.199999809265137;147
18:06:43;19.642278123646975;-155.9966308157891;11.0;151
18:06:46;19.64242740534246;-155.996855199337;11.800000190734863;154
18:06:51;19.642574172466993;-155.99733942188323;13.0;153
18:06:55;19.64259889908135;-155.99777746014297;9.600000381469727;156
18:07:00;19.642512314021587;-155.99835170432925;8.600000381469727;157
18:07:05;19.6423683129251;-155.9989369288087;10.399999618530273;162
18:07:10;19.642256163060665;-155.99954813718796;4.199999809265137;160
18:07:15;19.64207896962762;-156.00015775300562;3.200000047683716;160
18:07:20;19.641913007944822;-156.00077038630843;7.0;159
18:07:25;19.641785603016615;-156.00138251669705;7.0;158
18:07:30;19.641786525025964;-156.00196782499552;6.599999904632568;159
18:07:32;19.64182742871344;-156.00219380110502;6.0;156
18:07:37;19.64201208204031;-156.0027315840125;7.800000190734863;157
18:07:42;19.64224417693913;-156.00325000472367;5.400000095367432;157
18:07:47;19.642483899369836;-156.00376708433032;4.400000095367432;156
18:07:52;19.642731165513396;-156.00430612452328;5.0;155
18:07:56;19.642921099439263;-156.0047456715256;5.199999809265137;152
18:08:00;19.643103405833244;-156.00518111139536;4.599999904632568;151
18:08:02;19.643267104402184;-156.00532745942473;4.0;150
18:08:04;19.643477825447917;-156.00533701479435;5.199999809265137;150
18:08:07;19.64379608631134;-156.0052531119436;5.199999809265137;150
18:08:11;19.644237142056227;-156.005232995376;5.199999809265137;147
18:08:17;19.64486771263182;-156.005222434178;6.800000190734863;150
18:08:23;19.64547397568822;-156.00521966814995;6.199999809265137;150
18:08:29;19.646052746102214;-156.00522344000638;6.400000095367432;148
18:08:35;19.646624391898513;-156.0051941871643;10.800000190734863;149
18:08:41;19.647191679105163;-156.00507491268218;9.199999809265137;150
