heure;latitude;longitude;altitude;cardio
22:41:32;19.63985089212656;-155.99703717045486;5.800000190734863;126
22:41:38;19.64005365036428;-155.9970525931567;6.800000190734863;127
22:41:44;19.640165381133556;-155.99689501337707;6.400000095367432;127
22:41:45;19.640184491872787;-155.99686861038208;6.199999809265137;130
22:41:47;19.64023453183472;-155.99681613966823;6.199999809265137;134
22:41:53;19.640421699732542;-155.99682603031397;7.800000190734863;134
22:41:57;19.640523036941886;-155.9969033114612;8.800000190734863;138
22:41:58;19.640549942851067;-155.99691973999143;8.800000190734863;142
22:41:59;19.640584895387292;-155.99693323485553;9.0;138
22:42:03;19.64072898030281;-155.99697556346655;9.399999618530273;135
22:42:04;19.640762843191624;-155.99698109552264;9.600000381469727;129
22:42:05;19.640798466280103;-155.9969815146178;9.800000190734863;124
22:42:06;19.64083249680698;-155.99697824567556;9.800000190734863;124
22:42:10;19.640966104343534;-155.99691529758275;9.600000381469727;130
22:42:11;19.64099477045238;-155.99689291790128;9.600000381469727;134
22:42:15;19.641105579212308;-155.9968086797744;9.199999809265137;137
22:42:20;19.641253016889095;-155.9966952726245;8.199999809265137;138
22:42:23;19.64133331552148;-155.99662830121815;7.599999904632568;141
22:42:29;19.64148821309209;-155.99650483578444;7.0;141
22:42:36;19.641660125926137;-155.99638254381716;7.800000190734863;141
22:42:43;19.641809407621622;-155.9962412249297;9.399999618530273;141
22:42:49;19.641750063747168;-155.99606771953404;11.199999809265137;141
22:42:55;19.641622072085738;-155.9959053620696;12.399999618530273;139
22:42:57;19.641577312722802;-155.99584870040417;12.800000190734863;135
22:42:59;19.64153129607439;-155.9957917034626;13.199999809265137;132
22:43:05;19.641404477879405;-155.99562565796077;14.399999618530273;130
22:43:09;19.641320072114468;-155.99550621584058;14.800000190734863;133
22:43:12;19.641264332458377;-155.99541502073407;14.800000190734863;136
22:43:14;19.64122887700796;-155.9953524917364;15.0;139
22:43:20;19.64112418703735;-155.99516909569502;12.800000190734863;141
22:43:26;19.64103726670146;-155.99497396498919;12.199999809265137;141
22:43:32;19.640974989160895;-155.99476131610572;11.0;141
22:43:38;19.640909610316157;-155.9945537801832;9.399999618530273;140
22:43:44;19.64087499305606;-155.99434280768037;9.800000190734863;140
22:43:50;19.640854625031352;-155.99413476884365;10.399999618530273;138
22:43:56;19.64083543047309;-155.99392605945468;11.600000381469727;138
22:44:02;19.640797460451722;-155.99371617659926;13.0;138
22:44:08;19.64075638912618;-155.99350344389677;14.0;139
22:44:14;19.64072009548545;-155.99328643642366;14.199999809265137;139
22:44:20;19.640679946169257;-155.99306574091315;14.0;138
22:44:26;19.640634432435036;-155.99284487776458;14.0;140
22:44:32;19.64060040190816;-155.99263222888112;14.0;140
22:44:38;19.640528904274106;-155.992425782606;14.800000190734863;141
22:44:44;19.640466878190637;-155.9922373574227;14.600000381469727;141
22:44:50;19.64038649573922;-155.99205094389617;14.399999618530273;142
