heure;latitude;longitude;altitude;cardio
08:12:10;46.159793;-1.166415;4.5;157
08:12:16;46.159835;-1.166617;4.8;154
08:12:21;46.159863;-1.166783;5.0;154
08:12:27;46.159882;-1.166982;5.2;156
08:12:31;46.159897;-1.167115;5.4;157
08:12:36;46.159927;-1.167278;5.6;158
08:12:41;46.159953;-1.167437;5.9;157
08:12:46;46.159992;-1.167582;6.1;156
08:12:52;46.160023;-1.167765;6.3;156
08:12:57;46.160042;-1.167927;6.6;158
08:13:03;46.160077;-1.168118;6.9;159
08:13:09;46.160125;-1.168312;7.3;159
08:13:15;46.160157;-1.168497;7.4;159
08:13:21;46.160175;-1.168683;7.4;159
08:13:25;46.160187;-1.168817;7.4;160
08:13:29;46.160207;-1.168925;7.5;158
08:13:34;46.160237;-1.169078;7.6;159
08:13:40;46.160267;-1.169267;8.0;159
08:13:46;46.16029;-1.16946;8.6;159
08:13:51;46.16032;-1.16962;9.1;159
08:13:56;46.160332;-1.169772;9.5;158
08:14:01;46.16037;-1.16994;10.0;159
08:14:05;46.160388;-1.17008;10.3;160
08:14:09;46.160412;-1.170208;10.6;159
08:14:13;46.160415;-1.170337;11.0;159
08:14:18;46.160435;-1.17048;11.4;159
08:14:22;46.160447;-1.170608;11.8;158
08:14:23;46.16045;-1.170637;11.9;158
08:14:28;46.160473;-1.17079;12.3;158
08:14:30;46.160485;-1.170857;12.5;158
08:14:34;46.160522;-1.170987;12.7;158
08:14:40;46.16058;-1.171172;13.0;160
08:14:44;46.16058;-1.171298;13.3;160
08:14:48;46.160565;-1.171437;13.5;159
08:14:52;46.160592;-1.171567;13.8;160
08:14:57;46.160613;-1.17172;14.1;160
08:15:01;46.16063;-1.171843;14.2;160
08:15:04;46.16064;-1.17194;14.3;161
08:15:10;46.160675;-1.172122;14.5;161
08:15:15;46.160702;-1.17228;14.7;160
08:15:20;46.160728;-1.17244;14.9;160
08:15:24;46.160755;-1.172572;15.1;160
08:15:26;46.160763;-1.172642;15.2;160
08:15:31;46.160808;-1.172815;15.4;162
08:15:36;46.160873;-1.172982;15.5;162
08:15:40;46.160877;-1.173098;15.6;161
08:15:46;46.160888;-1.173265;15.8;161
08:15:51;46.160908;-1.173417;16.1;161
08:15:52;46.160912;-1.173447;16.2;160
08:15:57;46.160947;-1.173608;16.5;161
08:15:58;46.16095;-1.173635;16.6;161
08:16:04;46.160968;-1.173833;17.0;160
08:16:09;46.160988;-1.17401;17.4;159
08:16:12;46.161003;-1.1741;17.6;159
08:16:19;46.161037;-1.174337;18.0;160
08:16:24;46.16106;-1.174485;18.1;160
08:16:29;46.161083;-1.174633;18.3;160
08:16:36;46.161133;-1.174837;18.4;159
08:16:40;46.161145;-1.174968;18.6;159
08:16:45;46.161163;-1.175138;18.5;159
08:16:50;46.161182;-1.175287;18.4;159
08:16:56;46.161205;-1.17546;18.2;159
08:17:02;46.161213;-1.175637;18.1;159
08:17:08;46.161243;-1.175832;18.0;158
08:17:13;46.161293;-1.175973;17.8;153
08:17:20;46.161358;-1.17619;17.6;158
08:17:26;46.161385;-1.176395;17.3;158
08:17:28;46.161392;-1.176453;17.3;157
08:17:30;46.161418;-1.176503;17.2;159
08:17:36;46.161438;-1.17671;17.0;159
08:17:42;46.161465;-1.176932;17.1;158
08:17:48;46.161495;-1.177132;17.1;156
08:17:54;46.161515;-1.177335;17.1;157
08:18:00;46.161518;-1.177525;17.1;155
08:18:05;46.16153;-1.177685;16.5;155
08:18:10;46.161542;-1.177853;15.9;154
08:18:15;46.161548;-1.178012;15.4;153
08:18:22;46.161548;-1.178237;14.6;154
08:18:27;46.161545;-1.178393;14.2;152
08:18:29;46.161545;-1.178463;14.1;152
08:18:35;46.16153;-1.178653;13.9;150
08:18:38;46.161515;-1.178743;13.8;150
08:18:42;46.161468;-1.17886;13.7;150
08:18:48;46.16137;-1.179007;13.6;151
08:18:53;46.161263;-1.179087;13.6;153
08:18:54;46.161252;-1.1791;13.6;154
08:18:59;46.16114;-1.179133;13.7;154
08:19:03;46.161033;-1.179157;13.8;154
08:19:07;46.160947;-1.179192;13.8;155
08:19:12;46.160823;-1.17924;13.9;155
08:19:14;46.160785;-1.179252;14.1;155
08:19:17;46.160755;-1.179307;14.1;156
08:19:22;46.16064;-1.179333;14.5;156
08:19:27;46.160507;-1.179368;14.9;155
08:19:29;46.160465;-1.179378;15.1;154
08:19:31;46.160438;-1.179393;15.1;154
08:19:36;46.160317;-1.179408;15.6;154
08:19:42;46.160183;-1.179458;16.0;154
08:19:47;46.160077;-1.179488;16.3;154
08:19:50;46.160007;-1.17951;16.6;153
08:19:56;46.159882;-1.179565;16.2;153
08:20:01;46.159772;-1.179597;15.9;153
08:20:04;46.159707;-1.179593;15.8;153
08:20:10;46.15958;-1.179637;15.4;155
08:20:11;46.159562;-1.179642;15.4;155
08:20:16;46.159477;-1.179685;15.1;154
08:20:18;46.159435;-1.179693;15.0;154
08:20:22;46.159305;-1.179658;14.7;155
08:20:28;46.159142;-1.179648;14.3;154
08:20:33;46.159035;-1.17968;14.0;153
08:20:37;46.15895;-1.179727;13.7;155
08:20:42;46.158843;-1.179748;13.4;154
08:20:43;46.158822;-1.17974;13.4;154
08:20:49;46.15868;-1.179785;12.9;154
08:20:50;46.158653;-1.179788;12.9;155
08:20:52;46.158585;-1.179778;12.7;155
08:20:57;46.15849;-1.179857;12.4;156
08:21:08;46.158458;-1.17992;12.3;159
08:21:13;46.158452;-1.179908;12.3;154
08:21:23;46.158432;-1.179855;12.3;150
08:21:30;46.158378;-1.179857;12.1;142
08:21:34;46.158375;-1.17985;12.1;136
08:21:37;46.158367;-1.179843;12.1;130
08:21:38;46.158367;-1.179843;12.1;125
08:21:43;46.158348;-1.179832;12.0;125
08:21:48;46.158233;-1.179845;11.9;127
08:21:50;46.158188;-1.179858;11.8;131
08:21:52;46.158138;-1.17987;11.8;138
08:21:53;46.158115;-1.179877;11.7;138
08:21:57;46.158023;-1.179905;11.6;138
08:22:02;46.157887;-1.179922;11.5;135
08:22:07;46.157768;-1.179943;11.3;136
08:22:12;46.157642;-1.179972;11.2;140
08:22:17;46.15754;-1.180028;11.1;141
08:22:19;46.157493;-1.180048;11.0;141
08:22:23;46.15739;-1.18009;10.7;141
08:22:29;46.157257;-1.180177;10.2;142
08:22:34;46.157143;-1.180247;9.8;142
08:22:38;46.157043;-1.180297;9.3;142
08:22:42;46.156952;-1.180342;8.9;143
08:22:46;46.156868;-1.180402;8.5;143
08:22:50;46.15683;-1.18049;8.2;144
08:22:56;46.156685;-1.180518;7.5;144
08:22:57;46.15667;-1.180535;7.4;144
08:23:03;46.156525;-1.180577;7.0;143
08:23:08;46.156398;-1.180627;6.6;145
08:23:14;46.156247;-1.180682;6.2;145
08:23:18;46.15615;-1.180728;5.9;145
08:23:23;46.15604;-1.180775;5.6;144
08:23:27;46.155952;-1.1808;5.3;145
08:23:30;46.155888;-1.180818;5.1;148
08:23:33;46.155818;-1.180832;5.0;150
08:23:37;46.15572;-1.180852;5.2;149
08:23:41;46.155643;-1.180918;5.3;146
08:23:46;46.155533;-1.18094;5.4;147
08:23:49;46.155465;-1.18095;5.5;147
08:23:55;46.155323;-1.180937;5.7;151
08:24:00;46.155202;-1.180918;5.8;150
08:24:04;46.155113;-1.180917;5.9;150
08:24:09;46.155018;-1.180925;6.0;151
08:24:14;46.154892;-1.180912;6.1;151
08:24:19;46.15477;-1.180888;6.3;151
08:24:24;46.154628;-1.180843;6.5;151
08:24:29;46.154498;-1.180778;6.4;150
08:24:30;46.154477;-1.180762;6.4;150
08:24:36;46.15435;-1.180723;6.4;150
08:24:41;46.154228;-1.180717;6.4;150
08:24:45;46.154133;-1.18073;6.2;151
08:24:50;46.154037;-1.180865;5.8;151
08:24:54;46.153988;-1.180998;5.5;152
08:25:01;46.153973;-1.181252;5.8;152
08:25:06;46.153988;-1.18143;6.2;152
08:25:12;46.153988;-1.181633;6.5;152
08:25:18;46.153988;-1.181845;6.1;152
08:25:24;46.153973;-1.18205;5.6;152
08:25:29;46.153965;-1.182223;5.1;152
08:25:34;46.153965;-1.18239;4.8;152
08:25:40;46.153973;-1.182577;4.6;153
08:25:46;46.153968;-1.182778;4.6;152
08:25:52;46.153947;-1.182965;4.4;152
08:25:55;46.153935;-1.183057;4.3;152
08:26:02;46.153927;-1.183285;4.3;154
08:26:07;46.153908;-1.183452;3.8;155
08:26:12;46.153885;-1.183608;3.1;155
08:26:18;46.153843;-1.1838;2.2;155
08:26:23;46.153797;-1.183963;1.4;154
08:26:28;46.153767;-1.184122;0.7;154
08:26:34;46.153755;-1.184315;0.3;155
08:26:39;46.153743;-1.184477;-0.1;154
08:26:44;46.153732;-1.184642;-0.4;154
08:26:51;46.153728;-1.184862;-0.9;154
08:26:57;46.153737;-1.185072;-1.2;154
08:27:01;46.153737;-1.185208;-1.3;155
08:27:06;46.15374;-1.185373;-1.5;155
08:27:11;46.15374;-1.185535;-1.7;156
08:27:16;46.153758;-1.185698;-1.8;156
08:27:21;46.153758;-1.185862;-1.9;155
08:27:27;46.15377;-1.186078;-1.7;154
08:27:34;46.153782;-1.186308;-1.4;155
08:27:40;46.153793;-1.186503;-1.3;156
08:27:45;46.153797;-1.186657;-1.1;155
08:27:50;46.153782;-1.186812;-0.7;155
08:27:54;46.153778;-1.186945;-0.4;155
08:27:58;46.15377;-1.187073;-0.0;155
08:28:04;46.153763;-1.187262;0.4;156
08:28:10;46.153758;-1.187475;1.0;155
08:28:15;46.153763;-1.187642;1.4;155
08:28:21;46.153758;-1.187842;1.9;156
08:28:27;46.153755;-1.188038;2.3;157
08:28:32;46.153763;-1.188205;2.7;157
08:28:37;46.153793;-1.188377;3.1;157
